timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1473943732867,204,Зачистка базы,200,OK,setUp Thread Group 1-1,text,true,,9,1,1,196,0
1473943733072,2,Контроль что база пустая,200,OK,setUp Thread Group 1-1,text,true,,8,1,1,0,0
1473943733160,91,Send 01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,183,1,5,90,0
1473943733163,90,Send 01-11-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,5,90,0
1473943733162,91,Send 01-07-08(07),200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,183,1,5,91,0
1473943733159,95,Send 01-01-01,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,183,1,5,95,0
1473943733161,98,Send 01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,183,1,5,98,0
1473943733256,10,Send 01-06-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,5,9,0
1473943733266,8,Send 01-09-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,5,8,0
1473943793275,5,JDBC CheckNewContaner_01-08-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,518,1,5,0,0
1473943793254,28,CheckNewContaner_01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,557,1,4,28,0
1473943793256,28,CheckNewContaner_01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,557,1,4,28,0
1473943793255,30,CheckNewContaner_01-07-08,200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,557,1,4,30,0
1473943793260,30,CheckNewContaner_01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,557,1,4,30,0
1473943793283,22,RecivingContaner-01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,7943,1,4,21,0
1473943793285,26,RecivingContaner-01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,9277,1,3,25,0
1473943793311,0,Debug Sampler,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,864,1,3,0,0
1473943793290,21,RecivingContaner-01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,10615,1,3,21,0
1473943793289,27,RecivingContaner-01-07-08,200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,6821,1,2,26,0
1473943793312,4,JDBC CheckNewContaner_01-05-09,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,124,1,2,0,0
1473943793316,2,JDBC CheckNewContaner_01-08-09,200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,124,1,1,0,0
1473943899732,168,Зачистка базы,200,OK,setUp Thread Group 1-1,text,true,,9,1,1,157,0
1473943899900,5,Контроль что база пустая,200,OK,setUp Thread Group 1-1,text,true,,8,1,1,0,0
1473943899979,33,Send 01-07-08(07),200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,183,1,5,32,0
1473943899979,49,Send 01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,183,1,5,49,0
1473943899978,50,Send 01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,183,1,5,49,0
1473943899980,49,Send 01-11-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,5,48,0
1473943899977,67,Send 01-01-01,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,183,1,5,67,0
1473943900029,34,Send 01-06-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,5,34,0
1473943900063,45,Send 01-09-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,5,45,0
1473943960013,34,CheckNewContaner_01-07-08,200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,557,1,5,34,0
1473943960029,36,CheckNewContaner_01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,557,1,5,36,0
1473943960029,43,CheckNewContaner_01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,557,1,5,43,0
1473943960047,32,RecivingContaner-01-07-08,200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,6821,1,5,29,0
1473943960044,40,CheckNewContaner_01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,557,1,5,40,0
1473943960082,14,JDBC CheckNewContaner_01-08-09,200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,124,1,5,1,0
1473943960108,14,JDBC CheckNewContaner_01-08-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,518,1,4,0,0
1473943960065,30,RecivingContaner-01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,10615,1,5,27,0
1473943960072,29,RecivingContaner-01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,7943,1,4,27,0
1473943960085,32,RecivingContaner-01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,9276,1,4,30,0
1473943960133,0,Debug Sampler,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,865,1,2,0,0
1473943960130,5,JDBC CheckNewContaner_01-05-09,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,124,1,1,0,0
1473944555481,118,RecivingContaner-01-02-09,500,INTERNAL SERVER ERROR,01ДО - 02 контроль 1-1,text,false,,198,1,1,118,0
1473944578771,23,RecivingContaner-01-02-09,500,INTERNAL SERVER ERROR,01ДО - 02 контроль 1-1,text,false,,198,1,1,23,0
1473944578797,0,Debug Sampler,200,OK,01ДО - 02 контроль 1-1,text,true,,534,1,1,0,0
1473944629719,10,RecivingContaner-01-02-09,200,OK,01ДО - 02 контроль 1-1,text,false,Test failed: text expected not to contain /False/,184,1,1,10,0
1473944629730,0,Debug Sampler,200,OK,01ДО - 02 контроль 1-1,text,true,,534,1,1,0,0
1473944673685,29,RecivingContaner-01-02-09,500,INTERNAL SERVER ERROR,01ДО - 02 контроль 1-1,text,false,,198,1,1,29,0
1473944673715,0,Debug Sampler,200,OK,01ДО - 02 контроль 1-1,text,true,,534,1,1,0,0
1473950373538,127,Send 10-01-01,200,OK,10ДО - 01 контроль 02 формирование 1-1,text,true,,183,1,1,126,0
1473950433666,35,CheckNewContaner_10-01-01,200,OK,10ДО - 01 контроль 02 формирование 1-1,text,true,,652,1,1,35,0
1473950433705,36,RecivingContaner-10-01-01,200,OK,10ДО - 01 контроль 02 формирование 1-1,text,true,,73327,1,1,26,0
1473950433765,143,JDBC CheckNewContaner_10-02-04,200,OK,10ДО - 01 контроль 02 формирование 1-1,text,true,,124,1,1,138,0
1473950476794,38,Send 10-05-06,200,OK,10ДО - 05 контроль 2-1,text,true,,183,1,2,37,0
1473950476793,69,Send 10-04-07,200,OK,10ДО - 04 контроль 1-1,text,true,,183,1,2,69,0
1473950536832,129,JDBC CheckNewContaner_10-05-06,200,OK,10ДО - 05 контроль 2-1,text,true,,196,1,2,124,0
1473950536862,101,JDBC CheckNewContaner_10-04-07,200,OK,10ДО - 04 контроль 1-1,text,true,,196,1,2,94,0
1473950536965,0,Debug Sampler,200,OK,10ДО - 04 контроль 1-1,text,true,,1012,1,2,0,0
1473950536965,0,Debug Sampler,200,OK,10ДО - 05 контроль 2-1,text,true,,1012,1,2,0,0
1473950612656,60,Send 10-06-07,200,OK,10ДО - 06 контроль 1-1,text,true,,183,1,1,60,0
1473950672717,27,CheckNewContaner_10-06-07,200,OK,10ДО - 06 контроль 1-1,text,true,,747,1,1,27,0
1473950672745,19,RecivingContaner-10-06-07,200,OK,10ДО - 06 контроль 1-1,text,true,,7582,1,1,19,0
1473950672766,1,Debug Sampler,200,OK,10ДО - 06 контроль 1-1,text,true,,867,1,1,0,0
1473950736655,17,Send 10-06-07,200,OK,10ДО - 06 контроль 1-1,text,true,,183,1,1,16,0
1473950796673,33,CheckNewContaner_10-06-07,200,OK,10ДО - 06 контроль 1-1,text,true,,747,1,1,31,0
1473950796707,24,RecivingContaner-10-06-07,200,OK,10ДО - 06 контроль 1-1,text,true,,7582,1,1,24,0
1473950796736,0,Debug Sampler,200,OK,10ДО - 06 контроль 1-1,text,true,,867,1,1,0,0
1473951283708,84,Send 12-01-01,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: D:\work\GPR\01\FNS_1AE1A9F4681-A13E-44CF-A005-6A1A076AB004_7715_7e1ecc4a5d094e5fa1ecf0456127de77_12_01_01.zip (Не удается найти указанный файл),12ДО - 01 посылка  1-1,text,false,Test failed: text expected to contain /True/,1315,1,1,0,0
1473951314485,56,Send 12-01-01,200,OK,12ДО - 01 посылка  1-1,text,true,,183,1,1,55,0
1473951374542,0,Debug Sampler,200,OK,12ДО - 01 посылка  1-1,text,true,,532,1,1,0,0
1473953316054,124,Зачистка базы,200,OK,setUp Thread Group 1-1,text,true,,9,1,1,112,0
1473953316178,2,Контроль что база пустая,200,OK,setUp Thread Group 1-1,text,true,,8,1,1,0,0
1473953316268,94,Send 10-06-07,200,OK,10ДО - 06 контроль 9-1,text,true,,183,1,13,94,0
